id,first_name,last_name,password,has_checking,has_savings,active,checking_balance,savings_balance,overdraft_count
10001,William,Hartnell,4fg56,True,True,True,0.0,0.0,0
10002,Patrick,Troughton,serf,False,True,True,0.0,0.0,0
10003,Jon,Pertwee,233!,True,True,True,0.0,0.0,0
10004,Tom,Baker,ee,False,False,True,0.0,0.0,0
10005,Peter,Davison,werf345,True,False,True,0.0,0.0,0
10006,Suresh,Sigera,wergt,True,False,True,0.0,0.0,0
10007,James,Taylor,#@FG,True,False,True,0.0,0.0,0
10008,Melvin,Gordon,GD4dS,True,True,True,0.0,0.0,0
10009,Stacey,Abrams,!fiuenrg,False,True,True,0.0,0.0,0
100010,Jake,Paul,wegtr,True,True,True,0.0,0.0,0
100011,rtg,drg,2435365,True,False,True,0.0,0.0,0
100012,Devlin,Booth,123456,False,True,True,0.0,-135.0,1
10013,Ahmed,Hattan,A12345@,True,True,True,0.0,500.0,0
10014,Khalid,Alduwaysan,123,True,True,True,400.0,200.0,0
10015,Ali,Ahmed,123,True,True,True,0.0,-135.0,1
10016,Mohammed,Ali,123,True,False,True,500.0,0.0,0
10017,Aaa,Haa,123,False,False,True,0.0,0.0,0
